STATE_CODE,state,ppf_cat,hisp_f,white,black,hispanic,native,asian,hawaiian,other
1,AL,homicide,0,0.32465184,0.67480558,0,0.000180865,0.000361729,0,0
1,AL,kidnapping,0,0.37272727,0.62727273,0,0,0,0,0
1,AL,sexassault,0,0.53202158,0.46797839,0,0,0,0,0
1,AL,robbery,0,0.18498717,0.81501281,0,0,0,0,0
1,AL,assault,0,0.3460803,0.6539197,0,0,0,0,0
1,AL,otherviol,0,0.60975611,0.39024389,0,0,0,0,0
1,AL,burglary,0,0.43931755,0.56068242,0,0,0,0,0
1,AL,arson,0,0.5859375,0.4140625,0,0,0,0,0
1,AL,mvtheft,0,0,1,0,0,0,0,0
1,AL,fraud,0,0.54059041,0.45940959,0,0,0,0,0
1,AL,larceny,0,0.60792953,0.39207047,0,0,0,0,0
1,AL,otherprop,0,0.5229885,0.4770115,0,0,0,0,0
1,AL,drugtraff,0,0.7548148,0.24518518,0,0,0,0,0
1,AL,drugposs,0,0.20858896,0.79141104,0,0,0,0,0
1,AL,otherdrug,0,0.47165218,0.52834785,0,0,0,0,0
1,AL,public_oth,0,0.60318512,0.39681485,0,0,0,0,0
1,AL,weapons,0,0.21212122,0.78787881,0,0,0,0,0
1,AL,dwi,0,0.72222221,0.27777779,0,0,0,0,0
2,AK,homicide,1,0.52242154,0.10762332,0.026905829,0.30044842,0.011210762,0,0.031390134
2,AK,kidnapping,1,0.5151515,0.18181819,0.030303031,0.24242425,0.030303031,0,0
2,AK,sexassault,1,0.38157895,0.060150377,0.02443609,0.50375938,0.007518797,0.001879699,0.020676691
2,AK,robbery,1,0.44230768,0.24038461,0.067307696,0.14423077,0,0,0.10576923
2,AK,assault,1,0.30946884,0.064665124,0.013856813,0.56581986,0.006928407,0.004618938,0.034642033
2,AK,otherviol,1,0.25,0.083333336,0.083333336,0.54166669,0,0,0.041666668
2,AK,burglary,1,0.55789477,0.063157894,0.031578947,0.29473683,0,0.010526316,0.042105265
2,AK,arson,1,0.64285713,0.071428575,0,0.2857143,0,0,0
2,AK,mvtheft,1,0.41666666,0.041666668,0,0.5,0.020833334,0,0.020833334
2,AK,fraud,1,0.80000001,0.050000001,0,0.1,0,0,0.050000001
2,AK,larceny,1,0.5714286,0.1092437,0.029411765,0.25210086,0.004201681,0.004201681,0.029411765
2,AK,otherprop,1,0.5,0.1,0.050000001,0.34999999,0,0,0
2,AK,drugtraff,1,0.52272725,0.22727273,0,0.18181819,0.022727273,0,0.045454547
2,AK,drugposs,1,0.67567569,0.1891892,0.027027028,0.081081077,0,0,0.027027028
2,AK,otherdrug,1,0.73364484,0.088785045,0.023364486,0.12149533,0.009345794,0,0.023364486
2,AK,public_oth,1,0.47939444,0.084104292,0.015138772,0.39192599,0.003364172,0.003364172,0.022708159
2,AK,weapons,1,0.47499999,0.15000001,0.050000001,0.27500001,0.025,0,0.025
2,AK,dwi,1,0.59192824,0.053811658,0.026905829,0.29596412,0.004484305,0,0.026905829
2,AK,unknown,1,0.66666669,0.33333334,0,0,0,0,0
4,AZ,homicide,1,0.35581648,0.17039868,0.40060076,0.048880395,0.008192245,0,0.016111415
