"","STATE_CODE","ppf_cat","year","nt","e","x","l","state"
"13","22","arson",2003,140.737461473802,70.9142857142857,62.2593894542091,2.26050179270249,"LA"
"17","22","assault",2003,1108.30750910619,568.422321428571,532.978106691335,2.07946160487986,"LA"
"30","22","burglary",2003,4090.18247408238,2138.50892857143,2193.22849213691,1.86491397897956,"LA"
"51","22","drugposs",2003,96.757004763239,109.695535714286,49.0528522972556,1.97250517007453,"LA"
"62","22","drugtraff",2003,23.8751050714486,29.9169642857143,13.2065371569534,1.80782477554141,"LA"
"83","22","dwi",2003,552.897170075651,781.165178571429,851.821646623497,0.649076214800668,"LA"
"89","22","fraud",2003,976.366138974503,858.727678571429,802.768794326241,1.21624824716058,"LA"
"107","22","homicide",2003,5486.2478285234,443.214285714286,366.009744064138,14.9893491020338,"LA"
"114","22","kidnapping",2003,343.047562342393,39.8892857142857,45.2795559666975,7.57621303960445,"LA"
"139","22","larceny",2003,1300.56493415523,1130.19642857143,967.850508788159,1.34376633823715,"LA"
"151","22","mvtheft",2003,7.53950686466797,11.0803571428571,10.3765649090348,0.726589861940087,"LA"
"173","22","otherdrug",2003,10020.0046231437,6251.5375,5925.0185630589,1.69113472244899,"LA"
"183","22","otherprop",2003,1338.26246847857,1013.85267857143,934.834165895776,1.43155066139053,"LA"
"206","22","otherviol",2003,131.94137013169,103.047321428571,77.3525747764416,1.70571400516423,"LA"
"211","22","public_oth",2003,1051.76120762118,623.824107142857,663.156830095591,1.58599166877249,"LA"
"235","22","robbery",2003,5571.69557298963,1053.74196428571,1014.0733888375,5.49437115135904,"LA"
"242","22","sexassault",2003,2940.40767722051,577.286607142857,470.718717237126,6.24663428401397,"LA"
"260","22","weapons",2003,697.404384981788,327.978571428571,316.013567684243,2.20688114783295,"LA"
"11","22","arson",2004,144.143199273268,67.4546082804549,53.8042404529575,2.67903046413779,"LA"
"28","22","assault",2004,1179.80221322983,585.948985361563,545.46367907481,2.16293450598022,"LA"
"33","22","burglary",2004,4163.36898174911,2235.06314003895,2095.58239971088,1.98673599392871,"LA"
"52","22","drugposs",2004,145.130481460071,66.4478230822391,61.225514998193,2.37042483782055,"LA"
"68","22","drugtraff",2004,34.5548765381121,18.1221335678834,22.2638236357065,1.55206388190631,"LA"
"81","22","dwi",2004,621.000495499216,762.136395049318,823.761474521142,0.753859599783065,"LA"
"91","22","fraud",2004,1165.98026261458,867.848840861971,818.195518612215,1.42506312500008,"LA"
"109","22","homicide",2004,4600.73499050293,457.080479989948,352.510540898687,13.0513401919099,"LA"
"115","22","kidnapping",2004,292.235527293748,48.3256895143557,64.0084929526563,4.5655742513716,"LA"
"140","22","larceny",2004,1572.7405235775,1061.15159891939,1077.0124683773,1.46028070217896,"LA"
"143","22","mvtheft",2004,9.87282186803204,9.0610667839417,7.42127454523551,1.33034047020541,"LA"
"171","22","otherdrug",2004,10815.6763564291,6077.96224162845,6106.78129141067,1.771092796731,"LA"
"189","22","otherprop",2004,1502.64348831448,1131.6265627945,1024.1358872425,1.46723057655988,"LA"
"202","22","otherviol",2004,158.952432075316,100.678519821574,96.4765690880617,1.64757550540824,"LA"
"216","22","public_oth",2004,1105.75604921959,673.539297606333,631.735995663173,1.75034517078421,"LA"
"230","22","robbery",2004,4995.64786522421,1003.7648426211,898.901879291652,5.55750074653405,"LA"
"239","22","sexassault",2004,2650.8526715666,512.453665891814,431.361582941814,6.14531468817466,"LA"
"265","22","weapons",2004,705.906763564291,346.334108186216,290.35736658234,2.43116533213257,"LA"
"2","22","arson",2005,145.625807515738,59.2844515869827,64.5820823826108,2.25489488946781,"LA"
"25","22","assault",2005,1200.15751711246,524.516673362796,570.167527320764,2.10492085151191,"LA"
"29","22","burglary",2005,4169.91967451962,2083.99919646444,2128.44091509547,1.95914279083127,"LA"
"45","22","drugposs",2005,160.690546224263,52.2507030936119,66.4272847363997,2.41904432586585,"LA"
"61","22","drugtraff",2005,41.1769524699673,14.0674969867417,19.3746247147832,2.12530322915357,"LA"
"72","22","dwi",2005,624.684498446821,687.297709923664,754.687762699652,0.827739005880013,"LA"
"86","22","fraud",2005,1188.10572614564,824.958216151065,821.115047436051,1.44694185042099,"LA"
"111","22","homicide",2005,4722.29342716552,387.860988348734,331.213822505104,14.2575372955419,"LA"
"116","22","kidnapping",2005,300.290458256591,64.3085576536762,45.2074576678275,6.64249824582142,"LA"
"134","22","larceny",2005,1567.73714160046,1049.03334672559,1064.68175813618,1.47249366265552,"LA"
"149","22","mvtheft",2005,6.02589548340985,5.02410606669345,6.45820823826108,0.933059954262541,"LA"
"176","22","otherdrug",2005,11070.5743189378,5861.12213740458,6018.12747688243,1.83953802265961,"LA"
"194","22","otherprop",2005,1489.40050031613,1034.96584973885,1048.07493695208,1.4210820694248,"LA"
"208","22","otherviol",2005,157.677598482558,87.4194455604661,83.956707097394,1.87808221563101,"LA"
"222","22","public_oth",2005,1113.78634851692,602.892728003214,635.672210880269,1.75213943515726,"LA"
"229","22","robbery",2005,5117.99389724276,827.972679791081,953.969616908851,5.36494434049861,"LA"
"240","22","sexassault",2005,2711.65296753443,466.237042989152,432.699951963492,6.2668205883305,"LA"
"263","22","weapons",2005,746.206724028919,372.788670148654,320.142608382371,2.33085726326584,"LA"
"4","22","arson",2006,153.171230879351,64.8508667274897,69.7928331466965,2.19465558243499,"LA"
"21","22","assault",2006,1316.44463296307,572.849322759492,589.982082866741,2.23132985084297,"LA"
"32","22","burglary",2006,4541.32000742292,2099.00638641308,2075.17357222844,2.18840489691963,"LA"
"54","22","drugposs",2006,144.891704885873,41.0722155940768,58.6259798432251,2.47145898922859,"LA"
"66","22","drugtraff",2006,30.0132817263593,6.48508667274896,11.1668533034714,2.68771165078609,"LA"
"77","22","dwi",2006,649.942790488057,660.397992841603,591.843225083987,1.0981671546478,"LA"
"97","22","fraud",2006,1286.43135123671,827.929398554284,831,1.5480521675532,"LA"
"112","22","homicide",2006,5033.95180403489,392.347743701312,375.020156774916,13.4231499643264,"LA"
"119","22","kidnapping",2006,324.971395244028,55.1232367183662,62.3482642777156,5.21219634594029,"LA"
"138","22","larceny",2006,1649.69555420058,881.971787493859,951.043673012318,1.73461598138323,"LA"
"141","22","mvtheft",2006,3.10482224755441,4.32339111516598,2.79171332586786,1.11215654515286,"LA"
"177","22","otherdrug",2006,11507.5061901858,6043.01993122324,5896.09854423292,1.951715376508,"LA"
"187","22","otherprop",2006,1708.68717690411,1119.75829882799,1046.89249720045,1.63215151648656,"LA"
"200","22","otherviol",2006,181.114631107341,75.6593445154046,89.3348264277716,2.02736870210158,"LA"
"214","22","public_oth",2006,1296.78075872856,724.168011790301,623.482642777156,2.07989873295006,"LA"
"236","22","robbery",2006,5383.76177725935,845.222963014948,913.820828667413,5.89148507931283,"LA"
"241","22","sexassault",2006,2933.02208318973,568.525931644326,406.659574468085,7.21247516925221,"LA"
"264","22","weapons",2006,894.188807295671,418.288090392308,362.922732362822,2.46385450003096,"LA"
"14","22","arson",2007,150.581197900587,76.3196480938416,65.3189887710934,2.30532040886747,"LA"
"27","22","assault",2007,1252.00216116085,604.451612903226,546.813248855153,2.28963391757996,"LA"
"37","22","burglary",2007,4207.75007718432,2301.80058651026,2122.86713506054,1.98210712657923,"LA"
"46","22","drugposs",2007,138.269527631985,28.4926686217009,46.656420550781,2.96356912938686,"LA"
"59","22","drugtraff",2007,25.570392096326,12.2111436950147,9.3312841101562,2.74028652374812,"LA"
"82","22","dwi",2007,622.212874343933,676.700879765396,652.256759299918,0.953938560961435,"LA"
"87","22","fraud",2007,1207.49073788206,883.272727272727,795.958534596324,1.5170271884759,"LA"
"103","22","homicide",2007,4669.91123803643,422.302052785924,334.993099554608,13.9403206939049,"LA"
"117","22","kidnapping",2007,303.05649891942,53.9325513196481,51.3220626058591,5.90499452928888,"LA"
"136","22","larceny",2007,1548.42929916641,1014.54252199413,934.061539426636,1.65773799027942,"LA"
"147","22","mvtheft",2007,2.84115467736956,4.07038123167155,2.79938523304686,1.01492093472153,"LA"
"174","22","otherdrug",2007,11009.474374807,6398.63929618768,5986.0187566652,1.83919810851719,"LA"
"192","22","otherprop",2007,1650.71086755171,1099.00293255132,1065.63264537984,1.54904307287182,"LA"
"209","22","otherviol",2007,163.839919728311,94.6363636363636,87.7140706354683,1.86788640113643,"LA"
"215","22","public_oth",2007,1224.53766594628,757.090909090909,607.466595571169,2.0158107044469,"LA"
"238","22","robbery",2007,5008.95569620253,969.768328445748,827.684900570855,6.05176643037447,"LA"
"243","22","sexassault",2007,2752.13183081198,523.043988269795,387.248290571482,7.10689213566447,"LA"
"256","22","weapons",2007,872.234485952455,388.721407624633,350.856282541873,2.48601643850672,"LA"
"1","22","arson",2008,144.90041059496,61.5971019058119,73.862416998672,1.96176102113698,"LA"
