"","stabbrev","pcexpend"
"1","AL",17306.91734
"2","AK",57623.97561
"3","AZ",22461.89935
"4","AR",21305.62595
"5","CA",60740.69554
"6","CO",35463.45007
"7","CT",42301.85971
"8","DE",38231.78499
"9","FL",17738.67417
"10","GA",20256.58629
"11","HI",38265.28727
"12","ID",29709.03565
"13","IL",27963.71107
"14","IN",19660.79896
"15","IA",30257.1074
"16","KS",27824.29456
"17","KY",38073.8356
"18","LA",23148.15417
"19","ME",34587.67123
"20","MD",54249.91647
"21","MA",101038.4494
"22","MI",34986.22971
"23","MN",34387.86803
"24","MS",19621.10689
"25","MO",19155.1943
"26","MT",50906.80101
"27","NE",20203.19501
"28","NV",15396.67548
"29","NH",32299.13566
"30","NJ",49473.19405
"31","NM",43063.62613
"32","NY",52481.57716
"33","NC",28058.20321
"34","ND",48056.43341
"35","OH",21386.27489
"36","OK",18474.36038
"37","OR",36118.45786
"38","PA",37970.04872
"39","RI",56613.34675
"40","SC",22699.66271
"41","SD",32681.84389
"42","TN",31112.47475
"43","TX",22142.00089
"44","UT",39558.8905
"45","VT",40249.14286
"46","VA",31520.60467
"47","WA",37735.10626
"48","WV",43631.89873
"49","WI",35866.10806
"50","WY",46430.83333
