"rownum","STATE_CODE","ppf_cat","year","nt","e","x","l","state"
"56","1","drugtraff",2010,1301.04610205528,890,700,1.8586372886504,"AL"
"57","1","dwi",2010,158.005598866052,68,133,1.18801202154927,"AL"
"58","1","fraud",2010,818.028986534373,658,718,1.1393161372345,"AL"
"59","1","homicide",2010,5018.17781715096,464,317,15.8302139342301,"AL"
"60","1","kidnapping",2010,209.007406094968,31,23,9.08727852586818,"AL"
"61","1","larceny",2010,1754.06215450035,1278,1315,1.33388756996225,"AL"
"62","1","otherdrug",2010,4057.14376328845,3245,3621,1.12044842951904,"AL"
"63","1","otherprop",2010,1210.04287739192,1118,1249,0.968809349393051,"AL"
"64","1","otherviol",2010,212.007512402551,127,105,2.01911916573858,"AL"
"65","1","public_oth",2010,1134.04018426648,701,692,1.63878639344867,"AL"
"66","1","robbery",2010,4915.17416725726,1146,1103,4.45618691501112,"AL"
"67","1","sexassault",2010,2662.09433026223,272,299,8.90332551927166,"AL"
"68","1","weapons",2010,195.006909992913,112,101,1.93076148507834,"AL"
"69","1","arson",2011,146.005227166947,45.0036,44.0035906642729,3.3180298462664,"AL"
"70","1","assault",2011,1152.04124449536,412.03296,479.039089276971,2.40490028952371,"AL"
"71","1","burglary",2011,2802.10031864237,1650.132,1597.1303247919,1.75445940456203,"AL"
"72","1","drugposs",2011,454.016254341055,493.03944,512.041782275175,0.886678138498203,"AL"
"73","1","drugtraff",2011,1491.05338154738,992.07936,795.064876774931,1.8753858019683,"AL"
"74","1","dwi",2011,93.0033296337403,66.00528,94.007670964583,0.989316389603769,"AL"
"75","1","fraud",2011,758.027138305109,603.04824,655.053451934062,1.15719890654269,"AL"
"76","1","homicide",2011,5165.18491998138,449.03592,361.029459768239,14.3068239453289,"AL"
"77","1","kidnapping",2011,217.007769145394,23.00184,22.0017953321364,9.86318461150424,"AL"
"78","1","larceny",2011,1717.0614729154,1314.10512,1239.10110984168,1.38573152689273,"AL"
"79","1","otherdrug",2011,3681.13178905159,3144.25152,3139.25616125347,1.17261274644811,"AL"
"80","1","otherprop",2011,1079.03863091189,1110.0888,1117.09115390893,0.965936062725155,"AL"
"81","1","otherviol",2011,234.008377788121,104.00832,102.008323812633,2.29401257703189,"AL"
"82","1","public_oth",2011,1143.04092227274,673.05384,656.053533540069,1.74229824829216,"AL"
"83","1","robbery",2011,4958.17750886112,1040.0832,1040.08487024645,4.7670893507818,"AL"
"84","1","sexassault",2011,2635.09433962264,279.02232,294.023992165823,8.96217454981191,"AL"
"85","1","weapons",2011,206.007375317747,103.00824,108.00881344867,1.90732004861483,"AL"
"86","1","arson",2012,147.005217020975,42.003381914808,47,3.12777057491435,"AL"
"87","1","assault",2012,1085.03850658338,420.03381914808,428,2.53513669762473,"AL"
"88","1","burglary",2012,2855.10132377471,1746.14059102987,1687,1.69241335137801,"AL"
"89","1","drugposs",2012,435.015438123292,477.038408889605,450,0.966700973607316,"AL"
"90","1","drugtraff",2012,1688.05990701636,813.065464208068,826,2.04365606176315,"AL"
"91","1","dwi",2012,65.0023068460092,34.0027377405588,65,1.0000354899386,"AL"
"92","1","fraud",2012,706.025055896653,635.051131331025,628,1.12424371958066,"AL"
"93","1","homicide",2012,5253.18642864748,377.03035671149,311,16.8912746901848,"AL"
"94","1","kidnapping",2012,218.007736806615,34.0027377405588,26,8.38491295410059,"AL"
"95","1","larceny",2012,1792.06359796998,1441.11603188663,1356,1.32158082446163,"AL"
"96","1","otherdrug",2012,3686.13081591369,3043.24502778001,3153,1.16908684297929,"AL"
"97","1","otherprop",2012,1072.03804521418,1157.09316370078,1104,0.971048953998353,"AL"
"98","1","otherviol",2012,236.00837562551,94.0075690474273,105,2.24769881548105,"AL"
"99","1","public_oth",2012,1160.04116832878,740.059586118045,614,1.88931786372765,"AL"
"100","1","robbery",2012,4958.17595911559,977.078669780176,1066,4.65119695977072,"AL"
"101","1","sexassault",2012,2620.09298363914,284.022868185844,280,9.35747494156835,"AL"
"102","1","weapons",2012,201.007133477659,105.00845478702,102,1.9706581713496,"AL"
"103","1","arson",2013,142.010018343446,36,50,2.84020036686892,"AL"
"104","1","assault",2013,1077.07598419642,411,421,2.55837525937391,"AL"
"105","1","burglary",2013,2914.20558769578,1672,1688,1.72642511119418,"AL"
"106","1","drugposs",2013,462.032594892056,482,511,0.904173375522614,"AL"
"107","1","drugtraff",2013,1675.11817412163,778,885,1.89278889731258,"AL"
"108","1","dwi",2013,34.0023987582898,28,35,0.971497107379709,"AL"
"109","1","fraud",2013,713.050303372372,665,676,1.05480814108339,"AL"
"110","1","homicide",2013,5319.37526456893,320,311,17.1041005291605,"AL"
"111","1","kidnapping",2013,226.015944687456,21,24,9.417331028644,"AL"
"112","1","larceny",2013,1877.13242556794,1434,1478,1.27004900241403,"AL"
"113","1","otherdrug",2013,3576.25229293072,2922,3055,1.17062268181038,"AL"
"114","1","otherprop",2013,1125.07937067871,1112,1178,0.955075866450516,"AL"
"115","1","otherviol",2013,225.015874135742,154,120,1.87513228446451,"AL"
"116","1","public_oth",2013,1286.09072950473,740,678,1.89688898157039,"AL"
"117","1","robbery",2013,4869.34351629745,1027,1041,4.67756341623194,"AL"
"118","1","sexassault",2013,2624.1851276986,263,298,8.80599036140471,"AL"
"119","1","weapons",2013,204.014392549739,93,97,2.10324116030659,"AL"
"120","1","arson",2014,128.009155937053,42,42.0033201581028,3.04759612943023,"AL"
"121","1","assault",2014,1067.07632331903,421,460.036363636364,2.31954777418965,"AL"
"122","1","burglary",2014,2898.20729613734,1544,1699.1343083004,1.70569641374398,"AL"
"123","1","drugposs",2014,433.030972818312,401,437.034545454545,0.990839230724725,"AL"
"124","1","drugtraff",2014,1568.1121602289,796,909.07185770751,1.72495952540358,"AL"
"125","1","dwi",2014,27.0019313304721,23,26.0020553359684,1.03845372919888,"AL"
"126","1","fraud",2014,702.050214592275,592,681.053833992095,1.03082925247936,"AL"
"127","1","homicide",2014,5328.38111587983,548,326.025770750988,16.3434353781485,"AL"
"128","1","kidnapping",2014,223.015951359084,33,25.001976284585,8.91993292132612,"AL"
"129","1","larceny",2014,1833.13111587983,1371,1520.12015810277,1.20591198406824,"AL"
"130","1","otherdrug",2014,3443.24628040057,2733,3151.24909090909,1.09266077706578,"AL"
"131","1","otherprop",2014,1059.07575107296,964,1080.08537549407,0.980548181747671,"AL"
"132","1","otherviol",2014,259.018526466381,203,158.012490118577,1.63922817919017,"AL"
"133","1","public_oth",2014,1348.09642346209,792,708.055968379447,1.90394048446131,"AL"
"134","1","robbery",2014,4855.34728183119,1035,1058.08363636364,4.58881237263793,"AL"
"135","1","sexassault",2014,2589.18519313305,262,261.020632411067,9.91946563463796,"AL"
"136","1","weapons",2014,200.014306151645,100,109.008616600791,1.83484858709962,"AL"
"137","1","arson",2015,128.004711078395,NA,NA,NA,"AL"
"138","1","assault",2015,1028.03783584836,NA,NA,NA,"AL"
"139","1","burglary",2015,2743.1009569378,NA,NA,NA,"AL"
"140","1","drugposs",2015,397.014611704085,NA,NA,NA,"AL"
"141","1","drugtraff",2015,1455.05355171145,NA,NA,NA,"AL"
"142","1","dwi",2015,24.0008833271991,NA,NA,NA,"AL"
"143","1","fraud",2015,613.022561648877,NA,NA,NA,"AL"
"144","1","homicide",2015,5550.2042694148,NA,NA,NA,"AL"
"145","1","kidnapping",2015,231.008502024291,NA,NA,NA,"AL"
"146","1","larceny",2015,1684.06198012514,NA,NA,NA,"AL"
"147","1","otherdrug",2015,3025.11133603239,NA,NA,NA,"AL"
"148","1","otherprop",2015,943.034707397865,NA,NA,NA,"AL"
"149","1","otherviol",2015,304.011188811189,NA,NA,NA,"AL"
"150","1","public_oth",2015,1432.05270518955,NA,NA,NA,"AL"
"151","1","robbery",2015,4832.17784320942,NA,NA,NA,"AL"
"152","1","sexassault",2015,2590.0953257269,NA,NA,NA,"AL"
"153","1","weapons",2015,191.007029812293,NA,NA,NA,"AL"
"154","10","assault",2009,228.59830667921,109.282069454288,121.469979296066,1.88193254007258,"DE"
"155","10","burglary",2009,270.253998118532,217.55226789511,210.547964113182,1.28357450169053,"DE"
"156","10","drugposs",2009,36.5757290686736,56.6647767540751,62.7594893029676,0.582792012409573,"DE"
"157","10","drugtraff",2009,724.402634054563,318.739369241673,370.483436853002,1.95529020192605,"DE"
"158","10","dwi",2009,131.063029162747,490.757441530829,475.757418909593,0.275482890972327,"DE"
"159","10","fraud",2009,25.3998118532455,44.5223245924876,34.4164941338854,0.738012760812777,"DE"
"160","10","homicide",2009,430.780809031044,38.4510985116938,27.3307453416149,15.7617658664844,"DE"
"161","10","kidnapping",2009,53.8476011288805,10.1187101346563,16.1959972394755,3.32474748746156,"DE"
"162","10","larceny",2009,64.0075258701787,97.1396172927002,112.359730848861,0.569666066184133,"DE"
"163","10","otherdrug",2009,95.5032925682032,112.317682494685,96.1637336093858,0.993132119392688,"DE"
"164","10","otherprop",2009,28.447789275635,29.3442593905032,43.5267425810904,0.653570370505827,"DE"
"165","10","otherviol",2009,53.8476011288805,75.890326009922,70.8574879227053,0.759942282848356,"DE"
"166","10","public_oth",2009,1700.77140169332,3681.18674698795,3772.65510697032,0.450815500879206,"DE"
"167","10","robbery",2009,576.067732831609,184.160524450744,204.474465148378,2.81730891147499,"DE"
"168","10","sexassault",2009,642.107243650047,117.377037562013,112.359730848861,5.71474529886304,"DE"
"169","10","weapons",2009,338.32549388523,127.495747696669,135.641476880607,2.49426282923053,"DE"
"170","10","assault",2010,216.341661824521,137.73296398892,123.20275297619,1.75598074392323,"DE"
"171","10","burglary",2010,277.282975014526,206.599445983379,213.080171130952,1.30130820499537,"DE"
"172","10","drugposs",2010,30.4706565950029,66.8409972299169,54.5323660714286,0.55876278236472,"DE"
"173","10","drugtraff",2010,672.385822196397,283.567867036011,318.10546875,2.11371978243111,"DE"
"174","10","dwi",2010,146.259151656014,394.969529085873,413.032180059524,0.354110790192996,"DE"
"175","10","fraud",2010,35.5490993608367,48.6116343490305,50.4929315476191,0.704041105779548,"DE"
"176","10","homicide",2010,441.824520627542,52.6626038781163,35.3450520833333,12.500321674045,"DE"
"177","10","kidnapping",2010,47.7373619988379,10.1274238227147,8.07886904761905,5.90891642350691,"DE"
"178","10","larceny",2010,48.7530505520047,125.580055401662,97.9562872023809,0.497702107178473,"DE"
"179","10","otherdrug",2010,111.725740848344,117.47811634349,127.2421875,0.878055800858846,"DE"
"180","10","otherprop",2010,14.2196397443347,36.4587257617729,20.1971726190476,0.704041105779548,"DE"
"181","10","otherviol",2010,58.9099360836723,72.9174515235457,62.6112351190476,0.940884427078658,"DE"
"182","10","public_oth",2010,1609.86635676932,3466.61717451524,3501.1798735119,0.459806812254556,"DE"
"183","10","robbery",2010,555.58163858222,229.892520775623,193.892857142857,2.86540539331408,"DE"
"184","10","sexassault",2010,646.993608367228,104.312465373961,83.8182663690476,7.71900489469143,"DE"
"185","10","weapons",2010,330.098779779198,129.631024930748,126.232328869048,2.61500982146689,"DE"
"186","10","assault",2011,231.232795078816,160.357546836338,166.854628780935,1.38583386489328,"DE"
"187","10","burglary",2011,270.960015378701,287.009367267586,241.58093492209,1.12161175080345,"DE"
"188","10","drugposs",2011,42.7831603229527,97.031636620714,115.67222731439,0.369865449263552,"DE"
"189","10","drugtraff",2011,638.691464821223,290.073524213503,293.786984417965,2.17399510086045,"DE"
"190","10","dwi",2011,127.330834294502,513.756981265465,478.043629697525,0.266358186542657,"DE"
"191","10","fraud",2011,33.6153402537486,54.133439377872,56.3006416131989,0.597068510954019,"DE"
"192","10","homicide",2011,460.42829680892,43.9195828914811,23.5439046746104,19.5561570254505,"DE"
"193","10","kidnapping",2011,49.9136870434448,3.06415694591729,6.14188817598533,8.12676584354081,"DE"
"194","10","larceny",2011,76.3985005767013,179.763874160481,203.705957836847,0.375043034518856,"DE"
"195","10","otherdrug",2011,101.864667435602,155.250618593142,161.73638863428,0.629819104381877,"DE"
"196","10","otherprop",2011,30.5594002306805,59.2403676210675,67.5607699358387,0.452324629510621,"DE"
"197","10","otherviol",2011,69.2679738562092,106.224107458466,107.483043079743,0.644454900712275,"DE"
"198","10","public_oth",2011,1569.73452518262,3280.69070342877,3180.47442713107,0.493553575464083,"DE"
"199","10","robbery",2011,592.852364475202,237.982856132909,197.564069660862,3.0008106509088,"DE"
"200","10","sexassault",2011,669.250865051903,148.100919052669,148.428964252979,4.50889668617,"DE"
"201","10","weapons",2011,334.116109188774,162.400318133616,135.121539871677,2.47270797465806,"DE"
"202","10","assault",2012,224.639037927845,147.044070225726,112.330855018587,1.99979816668068,"DE"
"203","10","burglary",2012,316.120999074931,258.348262271587,238.958364312268,1.32291246629822,"DE"
"204","10","drugposs",2012,24.3951896392229,46.9724113221068,34.7204460966543,0.702617402187517,"DE"
"205","10","drugtraff",2012,634.274930619796,269.58079541383,302.272118959108,2.09835737680326,"DE"
"206","10","dwi",2012,163.651063829787,422.751701898961,423.793680297398,0.386157395539605,"DE"
"207","10","fraud",2012,31.5104532839963,39.824435686134,39.8263940520446,0.791195237078678,"DE"
"208","10","homicide",2012,479.772062904718,49.0146900752419,19.4026022304833,24.7272019085642,"DE"
"209","10","kidnapping",2012,46.7574468085106,4.08455750627015,5.10594795539033,9.15744680851064,"DE"
"210","10","larceny",2012,52.8562442183164,147.044070225726,118.457992565056,0.446202430699544,"DE"
"211","10","otherdrug",2012,95.5478260869565,97.0082407739162,108.246096654275,0.882690730106645,"DE"
"212","10","otherprop",2012,22.3622571692877,17.3593694016482,19.4026022304833,1.15253907200935,"DE"
"213","10","otherviol",2012,68.1032377428307,55.1415263346471,75.5680297397769,0.901217591319349,"DE"
"214","10","public_oth",2012,1673.10342275671,3728.17986384808,3621.13828996283,0.462037980541716,"DE"
"215","10","robbery",2012,632.241998149861,182.783948405589,169.517472118959,3.72965683269619,"DE"
"216","10","sexassault",2012,667.818316373728,101.092798280186,97.0130111524164,6.88380154827402,"DE"
"217","10","weapons",2012,360.845513413506,133.769258330348,108.246096654275,3.33356605518999,"DE"
"218","10","assault",2013,259.229534510433,101.928728875827,121.328397673189,2.136594066038,"DE"
"219","10","burglary",2013,335.473515248796,259.918258633358,271.204653622422,1.23697551191673,"DE"
"220","10","drugposs",2013,36.5971107544141,93.7744305657605,45.8804865150714,0.797661784654185,"DE"
"221","10","drugtraff",2013,601.819154628143,261.956833210874,315.04600740349,1.91025799561196,"DE"
"222","10","dwi",2013,162.653825575174,510.662931667891,497.548387096774,0.326910567481223,"DE"
"223","10","fraud",2013,31.5141787051899,42.8100661278472,44.8609201480698,0.702486230803402,"DE"
"224","10","homicide",2013,509.309791332263,33.6364805290228,41.802221047065,12.1837973814557,"DE"
"225","10","kidnapping",2013,45.7463884430177,8.15429831006613,11.2152300370175,4.07895230789072,"DE"
"226","10","larceny",2013,81.3269127875869,138.623071271124,154.974087784241,0.524777489904069,"DE"
"227","10","otherdrug",2013,84.3766720171215,86.6394195444526,115.210999471179,0.732366461574086,"DE"
"228","10","otherprop",2013,20.3317281968967,30.578618662748,32.6261237440508,0.623173269261082,"DE"
"229","10","otherviol",2013,47.7795612627073,70.3308229243204,66.2718138551031,0.720963536129745,"DE"
"230","10","public_oth",2013,1780.04280363831,3510.42542248347,3665.3410893707,0.485641788918456,"DE"
"231","10","robbery",2013,645.532370251471,125.372336517267,146.817556848228,4.39683362200875,"DE"
"232","10","sexassault",2013,671.963616907437,93.7744305657605,96.8588048651507,6.93755841653179,"DE"
"233","10","weapons",2013,386.302835741038,180.413850110213,157.013220518244,2.46032043968012,"DE"
"234","10","assault",2014,239.817776124954,103.325423728814,87.117093373494,2.7528211380606,"DE"
"235","10","burglary",2014,324.160468575679,169.170056497175,180.312123493976,1.7977741168719,"DE"
"236","10","drugposs",2014,84.3426924507252,62.8056497175141,60.7793674698795,1.38768624883309,"DE"
"237","10","drugtraff",2014,548.735589438453,184.364971751412,255.273343373494,2.14960004122166,"DE"
"238","10","dwi",2014,175.798624023801,548.029943502825,532.832454819277,0.329932275021474,"DE"
"239","10","fraud",2014,29.4691335068799,36.4677966101695,36.4676204819277,0.80809038586666,"DE"
"240","10","homicide",2014,500.975269616958,32.4158192090395,24.3117469879518,20.6063048395998,"DE"
"241","10","kidnapping",2014,42.6794347341019,5.06497175141243,5.06494728915663,8.4264321615889,"DE"
"242","10","larceny",2014,65.0353291186315,146.88418079096,141.818524096386,0.458581342127287,"DE"
"243","10","otherdrug",2014,55.8897359613239,88.1305084745763,85.0911144578313,0.656822234817729,"DE"
"244","10","otherprop",2014,18.2911863146151,24.3118644067797,27.3507153614458,0.66876445726896,"DE"
"245","10","otherviol",2014,51.8250278914094,49.6367231638418,46.597515060241,1.11218436915381,"DE"
"246","10","public_oth",2014,1625.88322796579,3507.99943502825,3518.11238704819,0.462146472054565,"DE"
"247","10","robbery",2014,623.932688731871,119.533333333333,149.922439759036,4.16170314286968,"DE"
"248","10","sexassault",2014,668.64447750093,91.1694915254237,96.2339984939759,6.94811072973119,"DE"
"249","10","weapons",2014,409.519338043882,209.689830508475,133.714608433735,3.06263723044762,"DE"
"250","10","assault",2015,256.078125,NA,NA,NA,"DE"
"251","10","burglary",2015,312.984375,NA,NA,NA,"DE"
"252","10","drugposs",2015,86.3755580357143,NA,NA,NA,"DE"
"253","10","drugtraff",2015,477.606026785714,NA,NA,NA,"DE"
"254","10","dwi",2015,191.042410714286,NA,NA,NA,"DE"
"255","10","fraud",2015,29.4693080357143,NA,NA,NA,"DE"
"256","10","homicide",2015,509.107700892857,NA,NA,NA,"DE"
"257","10","kidnapping",2015,42.6796875,NA,NA,NA,"DE"
"258","10","larceny",2015,70.1166294642857,NA,NA,NA,"DE"
"259","10","otherdrug",2015,58.9386160714286,NA,NA,NA,"DE"
"260","10","otherprop",2015,15.2427455357143,NA,NA,NA,"DE"
"261","10","otherviol",2015,54.8738839285714,NA,NA,NA,"DE"
"262","10","public_oth",2015,1615.73102678571,NA,NA,NA,"DE"
"263","10","robbery",2015,593.450892857143,NA,NA,NA,"DE"
"264","10","sexassault",2015,663.567522321429,NA,NA,NA,"DE"
"265","10","weapons",2015,485.735491071429,NA,NA,NA,"DE"
"266","11","assault",2007,872.171806167401,258.22677995898,290.505813953488,3.00225249986577,"DC"
"267","11","burglary",2007,332.828781204112,176.154702607677,172.3,1.93168184099891,"DC"
"268","11","fraud",2007,10.0249632892805,16.0140638734251,12.0209302325581,0.833959027740492,"DC"
"269","11","homicide",2007,1556.87679882526,151.13272780545,112.195348837209,13.876482536582,"DC"
"270","11","larceny",2007,101.252129221733,84.073835335482,68.1186046511628,1.48640932591394,"DC"
"271","11","mvtheft",2007,126.314537444934,107.094052153531,102.177906976744,1.23622161759179,"DC"
"272","11","otherdrug",2007,1669.1563876652,1481.30090829183,1539.68081395349,1.0840924771799,"DC"
"273","11","otherprop",2007,20.0499265785609,20.0175798417814,15.0261627906977,1.33433444438479,"DC"
"274","11","public_oth",2007,420.045961820852,413.363023732786,436.760465116279,0.961730731990641,"DC"
"275","11","robbery",2007,915.279148311307,377.33138001758,394.687209302326,2.31899875835656,"DC"
"276","11","sexassault",2007,422.050954478708,99.087020216818,75.1308139534884,5.61754801085995,"DC"
"277","11","weapons",2007,380.948604992658,232.203926164665,227.395930232558,1.67526571211306,"DC"
"278","11","assault",2008,839.729618163055,252.772216547497,263.567684242985,3.18601129184298,"DC"
"279","11","burglary",2008,336.693498452012,119.364657814096,159.343200740055,2.11300825443614,"DC"
"280","11","fraud",2008,14.0288957688338,11.0337078651685,12.0259019426457,1.16655664046995,"DC"
"281","11","homicide",2008,1595.28586171311,139.425944841675,136.293555349985,11.7047783926145,"DC"
"282","11","larceny",2008,117.241486068111,75.2298263534219,79.1705211224175,1.48087298663636,"DC"
"283","11","mvtheft",2008,131.270381836945,115.35240040858,107.230958988591,1.22418360401787,"DC"
"284","11","otherdrug",2008,1611.31888544892,1217.72012257406,1376.96577243293,1.1701953074708,"DC"
"285","11","otherprop",2008,25.0515995872033,21.0643513789581,20.0431699044095,1.24988211478924,"DC"
"286","11","public_oth",2008,396.8173374613,331.011235955056,385.831020659883,1.02847442588371,"DC"
"287","11","robbery",2008,897.849329205366,353.078651685393,390.841813135985,2.29721923046391,"DC"
"288","11","sexassault",2008,445.918472652219,75.2298263534219,85.1834720937404,5.23480038664668,"DC"
"289","11","weapons",2008,385.794633642931,234.717058222676,233.502929386371,1.6522046839274,"DC"
"290","11","assault",2009,829.04292110545,283.497363796134,297.554794520548,2.78618572569564,"DC"
"291","11","burglary",2009,296.731202717307,138.242530755712,155.289539227895,1.91082544383005,"DC"
"292","11","fraud",2009,13.0321136328547,7.01230228471002,11.0205479452055,1.1825286453678,"DC"
"293","11","homicide",2009,1598.94009572333,114.200351493849,160.298879202989,9.97474282835484,"DC"
"294","11","larceny",2009,113.279141577891,64.1124780316345,78.145703611457,1.44958886212246,"DC"
"295","11","mvtheft",2009,139.3433688436,112.19683655536,125.233499377335,1.11266849154915,"DC"
"296","11","otherdrug",2009,1451.57696464413,1132.98769771529,1326.47322540473,1.0943130527201,"DC"
"297","11","otherprop",2009,26.0642272657094,11.0193321616872,22.041095890411,1.1825286453678,"DC"
"298","11","public_oth",2009,341.842365292574,246.432337434095,303.56600249066,1.12608909590622,"DC"
"299","11","robbery",2009,860.119499768411,358.629173989455,380.709838107098,2.25925209615006,"DC"
"300","11","sexassault",2009,436.074571560908,99.1739894551845,104.194271481943,4.1852067811279,"DC"
"301","11","weapons",2009,386.95352786784,282.495606326889,253.472602739726,1.52660888666211,"DC"
"302","11","assault",2010,814.995908346972,293.061046511628,290.837612323492,2.80223696596873,"DC"
"303","11","burglary",2010,279.684942716858,137.497819767442,143.413029525032,1.9502059446282,"DC"
"304","11","fraud",2010,9.02209492635025,9.03270348837209,10.0288831835687,0.899611129296236,"DC"
"305","11","homicide",2010,1552.80278232406,114.414244186047,257.742297817715,6.02463311405045,"DC"
"306","11","larceny",2010,99.2430441898527,53.1925872093023,59.1704107830552,1.67724108851841,"DC"
"307","11","mvtheft",2010,126.309328968903,98.3561046511628,105.303273427471,1.19948150572831,"DC"
"308","11","otherdrug",2010,1258.08101472995,1114.03343023256,1204.4688703466,1.04451102531851,"DC"
"309","11","otherprop",2010,15.0368248772504,14.0508720930233,15.043324775353,0.999567921440262,"DC"
"310","11","public_oth",2010,284.697217675941,242.879360465116,245.707637997433,1.15868281505728,"DC"
"311","11","robbery",2010,838.052373158756,363.315406976744,398.146662387676,2.10488358268025,"DC"
"312","11","sexassault",2010,431.055646481178,70.2543604651163,105.303273427471,4.09346863066012,"DC"
"313","11","weapons",2010,416.018821603928,251.912063953488,289.834724005135,1.43536570033809,"DC"
"314","11","assault",2011,817.269404803341,306.669340138534,248.453050785532,3.28943195593448,"DC"
"315","11","burglary",2011,273.760180995475,156.341232227488,130.237486298867,2.10200756153458,"DC"
"316","11","fraud",2011,8.02227636616777,4.00874954429457,5.00913408841798,1.60152957069301,"DC"
"317","11","homicide",2011,1409.91507135399,123.269048487058,127.232005845817,11.0814496869802,"DC"
"318","11","larceny",2011,93.2589627567003,56.122493620124,55.1004749725977,1.69252556902784,"DC"
"319","11","mvtheft",2011,119.331360946746,100.218738607364,107.195469492145,1.11321272729246,"DC"
