"rownum","STATE_CODE","ppf_cat","year","nt","e","x","l","state"
"1","1","arson",2007,114.004461315697,42,49,2.32662165950402,"AL"
"2","1","assault",2007,937.03666888428,545,409,2.29104320020606,"AL"
"3","1","burglary",2007,2623.10264939537,1476,1322,1.98419262435354,"AL"
"4","1","drugposs",2007,429.016788635385,440,399,1.07523004670523,"AL"
"5","1","drugtraff",2007,921.036042734708,480,411,2.24096360762703,"AL"
"6","1","dwi",2007,569.022267444136,351,535,1.06359302326007,"AL"
"7","1","fraud",2007,920.03600360036,824,813,1.13165560098445,"AL"
"8","1","homicide",2007,4245.16612530818,886,557,7.62148316931451,"AL"
"9","1","kidnapping",2007,198.007748600947,41,33,6.0002348060893,"AL"
"10","1","larceny",2007,1685.06594137675,1129,1104,1.52632784544995,"AL"
"11","1","otherdrug",2007,3883.15195867413,3054,2965,1.3096633924702,"AL"
"12","1","otherprop",2007,1231.04817438266,1053,1091,1.12836679595111,"AL"
"13","1","otherviol",2007,141.005517943099,82,81,1.74080886349504,"AL"
"14","1","public_oth",2007,851.033303330333,600,486,1.75109733195542,"AL"
"15","1","robbery",2007,4327.16933432474,1385,1264,3.42339346069995,"AL"
"16","1","sexassault",2007,2303.09012640394,607,412,5.59002457865035,"AL"
"17","1","weapons",2007,176.006887645286,103,96,1.8334050796384,"AL"
"18","1","arson",2008,107.004018930288,42.0030787274593,42,2.54771473643544,"AL"
"19","1","assault",2008,1073.04030198317,489.035845183991,479,2.24016764505882,"AL"
"20","1","burglary",2008,2777.10430438702,1546.11332649172,1502,1.8489376194321,"AL"
"21","1","drugposs",2008,470.017653245192,497.036431608269,479,0.981247710323992,"AL"
"22","1","drugtraff",2008,990.037184495192,513.037604456825,454,2.18069864426254,"AL"
"23","1","dwi",2008,385.014460637019,167.012241606803,339,1.1357358720856,"AL"
"24","1","fraud",2008,931.034968449519,783.057396276206,840,1.1083749624399,"AL"
"25","1","homicide",2008,4574.17179987981,650.047646972585,377,12.1330816972939,"AL"
"26","1","kidnapping",2008,206.007737379808,36.0026389092508,39,5.28224967640532,"AL"
"27","1","larceny",2008,1710.06422776442,1344.0985192787,1332,1.28383200282614,"AL"
"28","1","otherdrug",2008,3972.14918870192,3605.26425744026,3446,1.15268403618744,"AL"
"29","1","otherprop",2008,1193.04480919471,1187.08701070224,1170,1.01969641811514,"AL"
"30","1","otherviol",2008,142.005333533654,131.009602697552,86,1.65122480853086,"AL"
"31","1","public_oth",2008,965.036245492788,706.05175194253,562,1.71714634429322,"AL"
"32","1","robbery",2008,4448.16706730769,1350.09895909691,1120,3.97157773866758,"AL"
"33","1","sexassault",2008,2498.09382512019,504.036944729512,350,7.13741092891483,"AL"
"34","1","weapons",2008,183.006873497596,92.0067438791966,85,2.15302204114819,"AL"
"35","1","arson",2009,107.007763749819,67,44.003299340132,2.43181228122649,"AL"
"36","1","assault",2009,1083.07858075751,559,536.040191961608,2.02051748544087,"AL"
"37","1","burglary",2009,2821.20468727325,1629,1604.12027594481,1.75872391215278,"AL"
"38","1","drugposs",2009,488.035408503846,577,570.04274145171,0.85613827352837,"AL"
"39","1","drugtraff",2009,1049.07611377159,821,569.042666466707,1.84358076396186,"AL"
"40","1","dwi",2009,213.015454941228,107,162.012147570486,1.31481162453298,"AL"
"41","1","fraud",2009,874.06341604992,776,832.062387522496,1.05047822033211,"AL"
"42","1","homicide",2009,4847.35169061094,484,313.023470305939,15.4855854287006,"AL"
"43","1","kidnapping",2009,203.014729357132,29,23.001724655069,8.82606554080254,"AL"
"44","1","larceny",2009,1722.12494558119,1383,1351.10130473905,1.27460830623193,"AL"
"45","1","otherdrug",2009,4131.29973878973,3704,3778.28329334133,1.09343302712916,"AL"
"46","1","otherprop",2009,1210.08779567552,1204,1204.09028194361,1.00498095020103,"AL"
"47","1","otherviol",2009,187.01356842258,137,112.008398320336,1.66963880590217,"AL"
"48","1","public_oth",2009,1109.08046727616,731,706.052939412118,1.57081771828556,"AL"
"49","1","robbery",2009,4678.33942823973,1356,1119.08390821836,4.18050817627063,"AL"
"50","1","sexassault",2009,2652.19242490205,331,321.024070185963,8.26166219674955,"AL"
"51","1","weapons",2009,190.013786097809,97,92.0068986202759,2.06521238023705,"AL"
"52","1","arson",2010,130.004606661942,59,43,3.02336294562656,"AL"
"53","1","assault",2010,1106.03919206237,521,475,2.32850356223656,"AL"
"54","1","burglary",2010,2846.10085046067,1650,1694,1.68010675942188,"AL"
"55","1","drugposs",2010,495.01754075124,521,562,0.880814129450605,"AL"
