"","STATE_CODE","ppf_cat","year","nt","e","x","l","state"
"8982","53","arson",2000,61,30,35,1.74285714285714,"WA"
"8983","53","assault",2000,1267,618,510,2.4843137254902,"WA"
"8984","53","burglary",2000,1230,711,675,1.82222222222222,"WA"
"8985","53","drugposs",2000,3,4,4,0.75,"WA"
"8986","53","drugtraff",2000,2778,1726,1518,1.8300395256917,"WA"
"8987","53","dwi",2000,0,0,0,NA,"WA"
"8988","53","fraud",2000,173,169,175,0.988571428571428,"WA"
"8989","53","homicide",2000,1854,178,133,13.9398496240601,"WA"
"8990","53","kidnapping",2000,197,42,37,5.32432432432432,"WA"
"8991","53","larceny",2000,308,238,245,1.25714285714286,"WA"
"8992","53","mvtheft",2000,68,83,68,1,"WA"
"8993","53","otherdrug",2000,524,562,526,0.996197718631179,"WA"
"8994","53","otherprop",2000,300,304,294,1.02040816326531,"WA"
"8995","53","otherviol",2000,172,113,89,1.93258426966292,"WA"
"8996","53","public_oth",2000,624,462,417,1.49640287769784,"WA"
"8997","53","robbery",2000,1230,401,354,3.47457627118644,"WA"
"8998","53","sexassault",2000,2768,422,575,4.81391304347826,"WA"
"8999","53","weapons",2000,551,315,325,1.69538461538462,"WA"
"9000","53","arson",2001,56,34,27,2.07407407407407,"WA"
"9001","53","assault",2001,1375,640,589,2.33446519524618,"WA"
"9002","53","burglary",2001,1266,653,674,1.87833827893175,"WA"
"9003","53","drugposs",2001,3,4,3,1,"WA"
"9004","53","drugtraff",2001,2986,1702,1719,1.7370564281559,"WA"
"9005","53","dwi",2001,0,0,0,NA,"WA"
"9006","53","fraud",2001,167,196,186,0.897849462365591,"WA"
"9007","53","homicide",2001,1899,195,118,16.0932203389831,"WA"
"9008","53","kidnapping",2001,202,34,51,3.96078431372549,"WA"
"9009","53","larceny",2001,301,330,262,1.14885496183206,"WA"
"9010","53","mvtheft",2001,83,101,87,0.954022988505747,"WA"
"9011","53","otherdrug",2001,560,528,558,1.00358422939068,"WA"
"9012","53","otherprop",2001,310,335,296,1.0472972972973,"WA"
"9013","53","otherviol",2001,196,89,107,1.83177570093458,"WA"
"9014","53","public_oth",2001,669,687,506,1.32213438735178,"WA"
"9015","53","robbery",2001,1277,414,404,3.16089108910891,"WA"
"9016","53","sexassault",2001,2615,483,486,5.38065843621399,"WA"
"9017","53","weapons",2001,541,308,311,1.7395498392283,"WA"
"9018","53","arson",2002,63,31,43,1.46511627906977,"WA"
"9019","53","assault",2002,1426,688,631,2.25990491283677,"WA"
"9020","53","burglary",2002,1245,671,729,1.70781893004115,"WA"
"9021","53","drugposs",2002,4,7,2,2,"WA"
"9022","53","drugtraff",2002,2969,1911,1653,1.79612825166364,"WA"
"9023","53","dwi",2002,0,0,0,NA,"WA"
"9024","53","fraud",2002,177,261,208,0.850961538461538,"WA"
"9025","53","homicide",2002,1976,212,140,14.1142857142857,"WA"
"9026","53","kidnapping",2002,185,43,44,4.20454545454545,"WA"
"9027","53","larceny",2002,369,380,324,1.13888888888889,"WA"
"9028","53","mvtheft",2002,97,95,100,0.97,"WA"
"9029","53","otherdrug",2002,530,655,509,1.04125736738703,"WA"
"9030","53","otherprop",2002,349,417,362,0.964088397790055,"WA"
"9031","53","otherviol",2002,178,101,79,2.25316455696203,"WA"
"9032","53","public_oth",2002,850,775,630,1.34920634920635,"WA"
"9033","53","robbery",2002,1287,428,384,3.3515625,"WA"
"9034","53","sexassault",2002,2612,537,517,5.05222437137331,"WA"
"9035","53","weapons",2002,538,360,309,1.7411003236246,"WA"
"9036","53","arson",2003,51,20,22,2.31818181818182,"WA"
"9037","53","assault",2003,1483,703,703,2.10953058321479,"WA"
"9038","53","burglary",2003,1187,693,685,1.73284671532847,"WA"
"9039","53","drugposs",2003,9,8,1,9,"WA"
"9040","53","drugtraff",2003,3227,1746,2103,1.53447456015216,"WA"
"9041","53","dwi",2003,0,0,0,NA,"WA"
"9042","53","fraud",2003,230,321,243,0.946502057613169,"WA"
"9043","53","homicide",2003,2048,176,152,13.4736842105263,"WA"
"9044","53","kidnapping",2003,184,33,52,3.53846153846154,"WA"
"9045","53","larceny",2003,425,394,334,1.27245508982036,"WA"
"9046","53","mvtheft",2003,92,37,75,1.22666666666667,"WA"
"9047","53","otherdrug",2003,676,779,656,1.03048780487805,"WA"
"9048","53","otherprop",2003,404,500,397,1.0176322418136,"WA"
"9049","53","otherviol",2003,200,88,91,2.1978021978022,"WA"
"9050","53","public_oth",2003,995,861,740,1.34459459459459,"WA"
"9051","53","robbery",2003,1331,413,381,3.49343832020997,"WA"
"9052","53","sexassault",2003,2632,565,531,4.95668549905838,"WA"
"9053","53","weapons",2003,589,323,347,1.69740634005764,"WA"
"9054","53","arson",2004,49,35,26,1.88461538461538,"WA"
"9055","53","assault",2004,1483,814,670,2.2134328358209,"WA"
"9056","53","burglary",2004,1195,721,700,1.70714285714286,"WA"
"9057","53","drugposs",2004,16,15,11,1.45454545454545,"WA"
"9058","53","drugtraff",2004,2870,1734,2028,1.41518737672584,"WA"
"9059","53","dwi",2004,0,0,0,NA,"WA"
"9060","53","fraud",2004,308,345,278,1.10791366906475,"WA"
"9061","53","homicide",2004,2072,191,175,11.84,"WA"
"9062","53","kidnapping",2004,165,42,43,3.83720930232558,"WA"
"9063","53","larceny",2004,485,443,394,1.23096446700508,"WA"
"9064","53","mvtheft",2004,54,32,36,1.5,"WA"
"9065","53","otherdrug",2004,799,1046,839,0.952324195470799,"WA"
"9066","53","otherprop",2004,507,577,478,1.06066945606695,"WA"
"9067","53","otherviol",2004,197,98,104,1.89423076923077,"WA"
"9068","53","public_oth",2004,1116,879,858,1.3006993006993,"WA"
"9069","53","robbery",2004,1363,440,398,3.42462311557789,"WA"
"9070","53","sexassault",2004,2666,525,498,5.35341365461847,"WA"
"9071","53","weapons",2004,565,392,320,1.765625,"WA"
"9072","53","arson",2005,58,30,38,1.52631578947368,"WA"
"9073","53","assault",2005,1627,771,678,2.39970501474926,"WA"
"9074","53","burglary",2005,1216,735,732,1.66120218579235,"WA"
"9075","53","drugposs",2005,20,30,4,5,"WA"
"9076","53","drugtraff",2005,2576,1643,1916,1.34446764091858,"WA"
"9077","53","dwi",2005,0,0,0,NA,"WA"
"9078","53","fraud",2005,375,361,303,1.23762376237624,"WA"
"9079","53","homicide",2005,2088,199,202,10.3366336633663,"WA"
"9080","53","kidnapping",2005,164,41,43,3.81395348837209,"WA"
"9081","53","larceny",2005,534,419,378,1.41269841269841,"WA"
"9082","53","mvtheft",2005,50,28,31,1.61290322580645,"WA"
"9083","53","otherdrug",2005,1006,1146,1051,0.957183634633682,"WA"
"9084","53","otherprop",2005,606,655,484,1.25206611570248,"WA"
"9085","53","otherviol",2005,191,95,104,1.83653846153846,"WA"
"9086","53","public_oth",2005,1137,889,880,1.29204545454545,"WA"
"9087","53","robbery",2005,1405,370,432,3.25231481481481,"WA"
"9088","53","sexassault",2005,2693,547,493,5.46247464503043,"WA"
"9089","53","weapons",2005,637,386,358,1.77932960893855,"WA"
"9090","53","arson",2006,50,34.1371973587674,27.029713866471,1.84981610412171,"WA"
"9091","53","assault",2006,1720,829.333088774762,730.80337490829,2.35357424316198,"WA"
"9092","53","burglary",2006,1219,766.078870139398,719.791269258988,1.6935465211393,"WA"
"9093","53","drugposs",2006,46,35.1412325752018,14.015407190022,3.28210228759881,"WA"
"9094","53","drugtraff",2006,2303,1422.71790168745,1615.77622890682,1.42532112974464,"WA"
"9095","53","dwi",2006,0,0,0,NA,"WA"
"9096","53","fraud",2006,433,365.468818782098,355.390682318415,1.21837746891757,"WA"
"9097","53","homicide",2006,2085,219.88371239912,161.177182685253,12.9360742337306,"WA"
"9098","53","kidnapping",2006,162,33.1331621423331,33.036316947909,4.90369432692628,"WA"
"9099","53","larceny",2006,575,435.751283932502,404.444607483492,1.42170272358859,"WA"
"9100","53","mvtheft",2006,47,17.0685986793837,19.020909757887,2.47096488013732,"WA"
"9101","53","otherdrug",2006,1101,1205.84629493764,1229.35143066764,0.895594190997167,"WA"
"9102","53","otherprop",2006,777,682.743947175348,686.754952311078,1.13140793143934,"WA"
"9103","53","otherviol",2006,182,96.3873807776963,87.0957446808511,2.08965433003542,"WA"
"9104","53","public_oth",2006,1146,814.272560528246,828.911225238445,1.38253647086314,"WA"
"9105","53","robbery",2006,1343,359.444607483492,406.446808510638,3.30424540648066,"WA"
"9106","53","sexassault",2006,2747,523.102347762289,522.574468085106,5.25666707381621,"WA"
"9107","53","weapons",2006,665,370.48899486427,345.379677182685,1.92541728402929,"WA"
"9108","53","arson",2007,57.0824046744172,28.0963026655202,36.1252577319588,1.58012449621691,"WA"
"9109","53","assault",2007,1818.62538401301,758.600171969046,667.313788659794,2.72529268077236,"WA"
"9110","53","burglary",2007,1264.82591410156,707.424763542562,695.411211340206,1.81881726017038,"WA"
"9111","53","drugposs",2007,67.0968616348413,93.3198624247635,16.0556701030928,4.17901347025787,"WA"
"9112","53","drugtraff",2007,2109.04463586531,1241.25451418745,1483.1425257732,1.42201076377728,"WA"
"9113","53","dwi",2007,0,11.0378331900258,0,NA,"WA"
"9114","53","fraud",2007,442.638997650744,388.331040412726,354.228221649485,1.24958704755248,"WA"
"9115","53","homicide",2007,2146.09812661888,202.69475494411,151.525386597938,14.1632908834834,"WA"
"9116","53","kidnapping",2007,162.23420275887,31.1066208082545,30.104381443299,5.38905617657134,"WA"
"9117","53","larceny",2007,605.874646105656,449.540842648323,455.579639175258,1.32989842830219,"WA"
"9118","53","mvtheft",2007,45.0650563219083,51.1754084264832,18.0626288659794,2.49493341507932,"WA"
"9119","53","otherdrug",2007,1075.55267754955,1071.67325881341,1234.27963917526,0.87140113424234,"WA"
"9120","53","otherprop",2007,772.114631648696,662.269991401548,670.324226804124,1.15185249283004,"WA"
"9121","53","otherviol",2007,191.2761279441,106.364574376612,91.3166237113402,2.09464739463803,"WA"
"9122","53","public_oth",2007,1130.63219083188,1003.43938091144,763.647809278351,1.48056758245706,"WA"
"9123","53","robbery",2007,1296.87217637492,469.609630266552,361.252577319588,3.58993196947525,"WA"
"9124","53","sexassault",2007,2749.96988133245,503.726569217541,426.478737113402,6.44808203087795,"WA"
"9125","53","weapons",2007,689.996084573218,389.334479793637,332.151675257732,2.07735241448901,"WA"
"9126","53","arson",2008,49.0721352019786,35.1560758082497,24.1207307386815,2.03443816580911,"WA"
"9127","53","assault",2008,1909.80738428925,910.040133779264,701.511252316653,2.72241874664497,"WA"
"9128","53","burglary",2008,1276.87698739842,732.250836120401,678.395552025417,1.88220129625877,"WA"
"9129","53","drugposs",2008,144.211989164998,424.886287625418,105.528196981732,1.36657304198956,"WA"
"9130","53","drugtraff",2008,1867.74555411612,1134.03455964326,1318.59994704792,1.41646111718541,"WA"
"9131","53","dwi",2008,11.0161936167707,68.3032329988852,5.02515223722531,2.19221092152492,"WA"
"9132","53","fraud",2008,476.700741962077,389.730211817168,371.861265554673,1.28193169366813,"WA"
"9133","53","homicide",2008,2197.22989047226,211.940914158305,137.689171299974,15.9578990107023,"WA"
"9134","53","kidnapping",2008,163.239959957602,34.1516164994426,31.1559438707969,5.23944839015486,"WA"
"9135","53","larceny",2008,599.881816040514,425.890746934225,441.208366428382,1.35963381858918,"WA"
"9136","53","mvtheft",2008,78.114827464374,312.386845039019,70.3521313211544,1.11034059661652,"WA"
"9137","53","otherdrug",2008,913.342598044989,481.136008918618,1006.03547789251,0.907863209713343,"WA"
